local e=
{
ByIdx={
{210761001,0,"平静的树林中，忽然响起一阵悲鸣。","고요한 숲 속에서 갑자기 흐느끼는 울음 소리가 들려왔다.","穏やかな森の中で突然、悲痛な叫び声が響いた。","静かな森の中で、突然悲鳴を上げてきた。","",0,0,"","","","","","","","","",""},
{210761002,1008,"呜呜，不行了，再没有吃的我就要饿死了！","흑... 저희 이제 어떻게 하죠? 이러다 굶어 죽게 생겼어요...!","もうむりぃぃ！このままじゃ餓死しますぅう！","もうむりぃぃ！これ以上食べ物がないと死んちゃう！","",0,0,"","","","","","","","","",""},
{210761003,1005,"再坚持一下，等到了前面的度假村就有吃的了！","조금만 더 참으세요. 별장촌까지만 가면 돼요!","もう少し我慢して、この先にリゾートが見えますよ！","もう少し我慢して、この前にリゾートが見えますよ！","",0,0,"","","","","","","","","",""},
{210761004,1008,"前面，前面！这句话你一个小时前就说过了，结果我们还在这破地方打转！","조금만 더... 더...! 아까 한 시간 전에도 똑같이 했잖아요! \r\n결국 여기서 계속 맴돌고만 있고...!","もう少しもう少しって、一時間前にも同じこと言ってましたよ？結局、また同じようなところで迷っているじゃないですか！","もう少しもう少しって、一時間前に言ったでしょう？結局、こんなところに迷っているじゃないか！","",0,0,"","","","","","","","","",""},
{210761005,1008,"（小声）说到底，要不是主人大人贪便宜捡了这什么度假村的优惠券，又追着兔子迷了路……","(혼잣말) 어디서 주운 지도 모른 별장촌 쿠폰에 혹해가지고...\r\n제대로 쉬지도 못하고 이게 뭐야아...","（ささやき声で）結局、ご主人様がリゾートのクーポンを拾って、欲張って来たがったせいなんですよね。そうでなければ迷子になってなかったのに。","（ささやき声で）と言っても、ご主人様が来たがっていたからでしょう、そうでなければ私たちは迷子になっていませんでした。","",321076111,321076112,"哼，你是在质疑我么？","하. 지금 내 탓 하는 거야?","俺を疑ってるのか？","","","你不会是在说我坏话吧？","...? 지금 너 내 욕 했지?","まさか、悪口か？","",""},
{210761006,1008,"欸欸！我，我明明都那么小声了……","흐에에...?! 이, 일부로 작게 말했는데...","えええ！あっ、あんなに小声にしたのに…","えええ！あっ、あんなに小声だったのに…","",0,0,"","","","","","","","","",""},
{210761007,1008,"咳咳咳——！主人大人您听错了，我是说这里风景这么好，就算迷路也别有一番风味呢~","아하하...! 서, 설마요~ 겨, 경치가 너무 좋아서 조, 좋다는 말씀이었어요~","コホン…！やだ、勘違いですよご主人様！ここは景色が良いし、迷ってもいいぐらいだな～って言っただけですよ～。","コホン…！勘違いされましたよご主人様！ここの景色が良いし、迷ってもいいじゃないかと言っているのですよ〜","",0,0,"","","","","","","","","",""},
{210761008,1003,"切，虚伪。","가식적이시군요.","またそんなウソを。","不実ですね。","",0,0,"","","","","","","","","",""},
{210761009,1008,"你你你，你说什么呢！不要来败坏我和主人大人深厚的主仆情谊！","라, 란슬롯 님 지금 뭐라구요?!\r\n주인님과 제 사이에서 이간질 하시지 마세요!","ななな、何を言うんですか！私とご主人様の深い絆に亀裂を入れないでください！","ななな、何を言っているの！私とご主人様の深い主従関係を悪化させないでください！","",0,0,"","","","","","","","","",""},
{210761010,1005,"你们快看！前面有炊烟冒出来了，那里肯定就是度假村的方向！","저기 연기가 피어오르는데요?! 분명 별장촌 방향이예요!","みんな見てください！この先のほうで煙が上がっていますよ！きっとリゾートです！","みんな見て！この前に炊煙が上がっていますよ！リゾートに着きましたね！","",0,0,"","","","","","","","","",""},
{210761011,1008,"呜，真的！哇哈哈哈哈！我要吃烤鸡，火腿和香肠！","꺄! 살았다! 별장촌이면 엄청 맛있는 음식들이 많겠죠?! 다 먹을 거예요!","おおっ、本当ですね！わははは！焼き鳥、ハム、ソーセージ、食べたーい！","ほぉ！本当だ！わぁははは！焼き鳥、ハム、ソーセージを食べたーい！","",0,0,"","","","","","","","","",""},
