path,text,active_in_hierarchy,active_self,sibling_index,anchor_min,anchor_max,pivot,anchored_position,size_delta,local_scale,font_asset,expected_variant,material,font_size,alignment,character_spacing,line_spacing,color,main_tex,face_tex,outline_tex,bump_map,cube,texture_mismatch_count,evidence_text,evidence_active_chain,evidence_size_delta,evidence_anchored_position,evidence_shared_material_path_id,evidence_flags,classification,evidence_path
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/bg_juese__8924767933396413025/text_name__2373153506476881520__font_EPM,안나 ,True,True,5,"0.5,0.5","0.5,0.5","0,0.5","-57.3,32","0,20","1,1,1",GirlsWarStaticProbe_EPM_bai_0_2_0_2_TMP,EPM_bai_0.2_0.2,GirlsWarStaticProbe_EPM_bai_0_2_0_2_Material,20,Left,0,0,"0.286,0.243,0.208,1",EPM_bai_0_2_0_2_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/faceGiftNode__2915645714390258269/txt_face_name__3575362382831631425__font_riyu,옷장 속 약속,True,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-26","200,14.01","0.9,0.9,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,20,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/funcsBtnOpt__-957505502039124638/im_vip_bg__4898268749995599164/vip_img__-4560014356866549307/text_vip_num__-6064814721411876321__font_riyu,10,False,True,0,"0.5,0.5","0.5,0.5","0,0","-20.4,-12.4","40,22","1,1,1",GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_TMP,riyu_shenzong_0.2_0.2,GirlsWarStaticProbe_riyu_shenzong_0_2_0_2_Material,18,Center,0,25,"0.965,0.831,0.008,1",riyu_shenzong_0_2_0_2_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/leftbannerNode__-5279177717507701307/openUnlockTips__2102578508593904001/bg_unlock__6968935345682524538/text_unLockTips__7942192582700488053__font_EPM,2wwwww,True,True,0,"0,0","0,0","0,0","4.4,14.9","230,30","1,1,1",GirlsWarStaticProbe_EPM_bai_0_2_0_2_TMP,EPM_bai_0.2_0.2,GirlsWarStaticProbe_EPM_bai_0_2_0_2_Material,20,Center,0,0,"0.286,0.243,0.208,1",EPM_bai_0_2_0_2_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_1__-3948317681477490579/txt_act_name__-6620759799604823665__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_2__6121557205818703146/txt_act_name__-8889300492611825671__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_3__5371914987803865122/txt_act_name__-4327092035796571576__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_4__4619865035362951332/txt_act_name__-8191190479474794544__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_5__-2413171715124479122/txt_act_name__-7578766176345202857__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/left_node_face_btn__1861898826191704551/btn_face_item_6__-6331543869366284602/txt_act_name__4078298586768556348__font_riyu,옷장의 약속,False,True,3,"0.5,0.5","0.5,0.5","0.5,0.5","0,-29","90,14.01","1,1,1",GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_TMP,riyu_baibian_0.2_0.2_1,GirlsWarStaticProbe_riyu_baibian_0_2_0_2_1_Material,18,Center,-2.5,0,"0,0,0,1",riyu_baibian_0_2_0_2_1_static_atlas,,,,,0,,False,,,,,actual_without_route_evidence,
