hookId,sourceBackedLocation,evidence,capturePoint,fieldsToDump,unblocks,approvalRequired,executionInBattle75
H01,YouYou.LuaManager.GetLuaBuff,BATTLE59 bootstrap graph: LuaManager.MyLoader/GetLuaBuff/LoadLuaAssetBundle required for decoded UI Lua,return bytes/module name for UI_NormalBattle and dependency modules,"moduleName,luaAssetBundleName,byteLength,loadSuccess,error",proves original Lua source/load path before lifecycle snapshot,true,false
H02,YouYou.LuaManager.LoadUIScript,BATTLE59 bootstrap graph rows 04-06,when UI_NormalBattle / UI_Battle3DUI / UI_BattleBoxPage scripts are loaded,"scriptPath,moduleName,luaTableExists,OnInitExists,OpenExists,error",validates original UI module load and lifecycle entry availability,true,false
H03,YouYou.LuaForm OnInit/Open for CanvasLuaStateHUD_01_ui_normalbattle,BATTLE51/B58 bridge rows present but lifecycle executed rows remain 0,after LuaForm invokes UI_NormalBattle OnInit and Open,"luaScriptPath,luaTable,OnInitCalled,OpenCalled,binderKeys,exception",original handler closure binding ownership and route active state snapshot,true,false
H04,UI_NormalBattle.OnInit / Open / Refresh,BATTLE50/B58 UI_NormalBattle handler source trace,"post Open/Refresh, before player input","root_battle/root_top/root_opra active chain, TopCenter state, button children, TMP and mask states",route/HUD/right rail static review after runtime state is known,true,false
H05,UI_NormalBattle.ShowAllOperBtn,BATTLE73 source ownership trace for root_opra/right rail,after method returns,"btnAuto,btnBuff,btnTwoSpeed,btnFastSkill,btnSkip,btnPause active/interactable/on-off/new/lock children",right rail active/sibling/button state patch review,true,false
H06,UI_NormalBattle.CheckPauseBtnState,BATTLE73 source ownership trace for skip/pause,after method returns,"btnPause/btnSkip visible children, labels, lock/new state, runtime battle type flags",pause/skip route state patch review,true,false
H07,UI_NormalBattle TopCenter update paths,BATTLE73/B74 TopCenter handler/xLua-required rows,after enemy/player top info populated,"EnemyInfo/PlayerInfo text, mask, head icon, active chain, sibling, TMP values, mask/stencil state",TopCenter TMP/mask runtime snapshot and component rehydration review,true,false
H08,ModulesInit.ProcedureNormalBattle,BATTLE50/B58/B59 ProcedureNormalBattle dependency graph,after ModulesInit initialized for normal battle,"isAuto,gameSpeed,fastSkill,round,wave,battleType,canPause,canSkip,method availability",handler state cannot be statically replaced; confirms original source behavior,true,false
H09,Unity scene after UI_NormalBattle.Open one frame wait,BATTLE73/B74 candidate scene field specs,hierarchy dump of B72/Battle HUD roots after original runtime open,deduplicated field checklist objectPath+fieldName values,primary approved runtime snapshot packet for static review,true,false
H10,Unity UI components material/stencil inspection,BATTLE74 TMP/mask/stencil gap closure,after Canvas update and before capture,"TMP font/material, materialForRendering, stencil ID/compare/op if observable, Mask/RectMask2D enabled/showMaskGraphic",TMP/mask/stencil component rehydration review,true,false
H11,Button/UIEventListener click binding table,BATTLE58 active/interactable buttons 5/5 but listener/delegate rows 0,after UI_NormalBattle and UI_BattleBoxPage bind original closures,"buttonPath,onClick counts,UIEventListener delegate present,closure source,function name,bound target",confirms original handler binding; no fake handler replacement,true,false
H12,GameEntry.Lua / YouYou.LuaManager service availability,BATTLE59 executable xLua/GameEntry/LuaManager candidate 0,bootstrap service state before UI load,"GameEntry exists, LuaManager exists, LuaEnv exists, loaders registered, error chain",decides whether runtime recovery path exists or external approval is required,true,false
