candidate,sourceBacked,wouldGenerateTrueReferenceAspect,wouldSaveScene,outputSize,method,status,notes,source,line,candidateKind,evidence,interpretation,safeForNoSceneSaveCapture
run_existing_BATTLE57_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE57 Rehydrate Source Backed AssetBundle Actors,blocked_existing_path_hardcoded_16x9_and_scene_save,"Source-backed actor rehydration remains useful, but not acceptable for BATTLE68 true aspect no-scene-save capture.",,,,,,
run_existing_BATTLE51_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE51 Restore Lua Bridge And Raycaster Registration,blocked_existing_path_hardcoded_public_call_and_scene_save,"Internal RenderCamera is dimension-flexible, but the exposed Build path is not.",,,,,,
use_BATTLE67_crop_as_final,False,False,False,1920x855 crop from 1920x1080,image crop/guide from existing PNG,forbidden_as_final_true_capture,BATTLE67 crop remains analysis-only and cannot stand in for runtime/GameView capture.,,,,,,
new_capture_only_editor_method_open_BATTLE57_scene_render_1920x855,True,True,False,1920x855,"Open existing BATTLE57 scene read-only, FindCaptureCamera, RenderTexture(width,height), camera.Render, restore targetTexture, do not SaveScene",generated,BATTLE68 capture-only editor method wrote only capture/report outputs and did not call SaveScene.,,,,,,
new_capture_only_editor_method_open_BATTLE51_scene_render_1280x570,True,True,False,1280x570,"Open existing BATTLE51/BATTLE57 context, RenderTexture(1280,570), camera.Render, no bridge/actor mutation",safe_candidate_plan_only_not_existing_public_path,May omit BATTLE57 runtime rehydrated actor objects unless BATTLE57 scene already contains them; should validate scene contents before use.,,,,,,
runtime_camera_rect_or_canvas_scaler_mutation,unknown,possible,risky,view-rect dependent,Set camera.rect/pixelRect/canvas scaler fields before capture,not_allowed_without_source_backed_runtime_proof,Field mutation could become a layout patch; defer until true capture-only render path is established.,,,,,,
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1183,canvas_scaler_reference_resolution,m_UiScaleMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1186,canvas_scaler_reference_resolution,"m_ReferenceResolution: {x: 800, y: 600}",scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1188,canvas_scaler_reference_resolution,m_MatchWidthOrHeight: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1203,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1204,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1205,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1216,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,1217,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,2385,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,2868,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,2870,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,8387,canvas_camera_binding,m_SortingOrder: 30,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,8389,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,14494,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,14496,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,19633,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,20007,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,20009,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,25011,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,25013,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,29987,canvas_camera_binding,m_SortingOrder: 7,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30529,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30530,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30531,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30542,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30543,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30796,canvas_camera_binding,m_SortingOrder: 3,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,30798,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,35703,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,35705,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,42216,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,42218,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,47571,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,47573,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,52711,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,52713,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,57934,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,57936,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,63047,canvas_camera_binding,m_SortingOrder: 6,scene YAML evidence only; no mutation performed,read_only_evidence
