topic,source,evidence,runtimeDecision,blocker,snippet
main_activity_slots,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,le table contains btn_act_1 through btn_act_8; InitActBtn creates UI_MainPageActItem wrappers for those p items.,slots_known_but_active_items_unknown,Active slot count and act ids require ActMgr:GetActInMain runtime result.,"local le={ btn_act_1,btn_act_2,btn_act_3,btn_act_4,btn_act_5,btn_act_6,btn_act_7,btn_act_8 } local ue={ btn_face_item_1,btn_face_item_2,btn_face_item_3,btn_face_item_4,btn_face_item_5,btn_face_item_6,btn_face_item_7 } local Y={ {text=""ui_new_main_tips1"",bgImg=""UIMainInterface2/zhuye_maoxian""}, {text=""ui_new_main_tips2"",bgImg=""UIMainInterface2/zhuye_pvp""}, {text=""ui_new_main_tips3"",bgImg=""UIMainInterface2/zhuye_xinshou""}, } local d={ } local p={} local y={} local z={} local he local re=-1 local de=-1 local q=0 local"
face_activity_slots,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,ue table contains btn_face_item_1 through btn_face_item_7; refreshFaceAct enables only ActMgr:GetActInMainFace results.,slots_known_but_active_items_unknown,Active face activity rows require ActMgr:GetActInMainFace runtime result.,"local ue={ btn_face_item_1,btn_face_item_2,btn_face_item_3,btn_face_item_4,btn_face_item_5,btn_face_item_6,btn_face_item_7 } local Y={ {text=""ui_new_main_tips1"",bgImg=""UIMainInterface2/zhuye_maoxian""}, {text=""ui_new_main_tips2"",bgImg=""UIMainInterface2/zhuye_pvp""}, {text=""ui_new_main_tips3"",bgImg=""UIMainInterface2/zhuye_xinshou""}, } local d={ } local p={} local y={} local z={} local he local re=-1 local de=-1 local q=0 local j=0 local ae,O=0 local oe,A=0 local K,T=0 local d=nil local Q=150 local B=false local L=nil"
GetActInMain,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,"ActMgr:GetActInMain builds up to five system groups: charge, recruit, welfare, activity, rally.",server_snapshot_required,"It starts from ActMgr:GetAllActInfo(true), which iterates ActMgr.activitys from runtime server data.","function ActMgr:GetActInMain() local e=ActMgr:GetAllActInfo(true); local t=ActMgr:GetDynamicChargeInMainShow(e); local i=ActMgr:GetDynamicRecruitActInMainShow(e); local a=ActMgr:GetDynamicWelfareActInMainShow(e); local o=ActMgr:GetDynamicActsInMainShow(e); local n=ActMgr:GetDynamicRallyInMainShow(e); local e={} if t~=nil then t.isSpine=true ActMgr:AddDynamicActToActInfoMap(t,ActMgr.CHARGE_SYS_ID,e) end if i~=nil then ActMgr:AddDynamicActToActInfoMap(i,ActMgr.RECRUIT_SYS_ID,e) end if a~=nil then ActMgr:AddDynamicActToActInfoMap(a,ActMgr.WELFARE_SYS_ID,e) end if o~=nil then ActMgr:AddDynamicActToActInfoMap(o,ActMgr.ACT_SYS_ID,e) end if n~=nil then ActMgr:AddDynamicActToActInfoMap(n,ActMgr.RALLY_SYS_ID,e) end return e end function ActMgr:GetChargeAct(t) local a={} local e=ActMgr:GetChargesIconArr() for o=1,#e do local e=e[o] if ActMgr:IsOpen(e)or(t and ActMgr:IsFixShowAct(e)and not ActMgr:IsOpenlevel(e))then local t=ActMgr:GetActResInfo(e,true) if t then local e=ActMgr:GetActCfgData(e) t.actCfg=e t[""orderId""]=o; table.insert(a,t) end end end return a end function ActMgr:GetRecruitAct(t) local o={} local e=ActMgr:GetRecruitsIconArr() for a=1,#e do local e=e[a] if ActMgr:IsOpen(e)or(t and ActMgr:IsFixShowAct(e)and not ActMgr:IsOpenlevel(e))then local t=ActMgr:GetActResInfo(e,true) if t and not s:IsHideActId(e)then local e=ActMgr:GetActCfgData(e) t.actCfg=e t[""orderId""]=a; table.insert(o,t) end end end return o end function ActMgr:GeActAct(t) local o={} local e=ActMgr:GetActsIconArr() for a=1,#e do local e=e[a] if ActMgr:IsOpen(e)or(t and ActMgr:IsFixShowAct(e)and not ActMgr:IsOp"
IsActShowInMain,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,"Show filtering checks review mode, server show flag, IsOpen, player VIP/level, and optional client showInMainFunc.",server_account_snapshot_required,"Requires ActMgr.activitys, PlayerMgr.PlayerInfo, RedPointMgr, and activity client functions.","function ActMgr:IsActShowInMain(t) if GameTools:IsReview()then if t==301 then return true end end local o=ActMgr:GetActCfgData(t) local a=ActMgr:GetActServerData(t) if a and not a.show then return false end if not ActMgr:IsOpen(t)then return false end if PlayerMgr.PlayerInfo.vip>0 then return true end local a=o and o[""onMainLv""]or 1 if PlayerMgr.PlayerInfo.level<a then return false end local e=e[t]; if e and e.showInMainFunc and e:showInMainFunc()==false then return false end return true end function ActMgr:IsActivityShowRedPoint(e) if PlayerMgr.PlayerInfo.vip>0 then return true end local e=ActMgr:GetActCfgData(e) local e=e and e[""redPointLv""]or 1 if PlayerMgr.PlayerInfo.level<e then return false end return true end function ActMgr:GetActivityHeroId(e) local e=ActMgr:GetActCfgData(e) local e=e[""heroId""]or 0 return e end function ActMgr:GetActivityBannerIcon(t,i) local a=""Assets/Download/UI/UIPrefabAndRes/MainInterface_Ext_Act_1/activitybanner_"" local e local s="""" if o:StaticIsSsrAndOtherDrawAct(t)then local n if t==405 then n=i or 1002 else n=o:staticGetActCfgHeroCfgId(t) e=n end local t=math.floor(n/100) local e=n%100 local e=math.ceil(e/20) a=string.format(""Assets/Download/UI/UIP"
UI_MainPageActItem Refresh,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-8694572285188909557_UI_MainPageActItem_security_xor_raw.lua,"Refresh uses actInfo.tbSpine/name, ActCfgData mainPageName/mainPageSpineId overrides, and UIUtil.GetSpinePrefabFromPool.",placeholder_text_not_authoritative,Static prefab labels cannot determine final text or icon spine.,"function e:Refresh(t) self._actInfo=t self:SetActId(t.actId) local o=t.tbSpine local a=GameTools.GetLocalize(t.name,LanguageCategory.LangCommon) local e=i[self._actId] if t.systemId~=nil then if e and self._actId~=301 and e.getActNewName then a=e.getActNewName() else a=ActMgr:GetActivityBaseName(t.systemId) end else if e and self._actId~=301 and e.getActNewName then a=e.getActNewName() elseif e and e.mainPageName then a=GameTools.GetLocalize(e.mainPageName,LanguageCategory.LangCommon) end if e and e.mainPageSpineId then o=t.mainPageSpineId end end self:CheckRefreshSpine(o) LuaUtils.SetTextMeshText(self._bicoms[""txt_act_name""],a) self:RefreshRedPoint() end function e:UpdateFaceGiftBtnStage(e) end function e:SetActive(e) LuaUtils.SetActive(self._trans.transform,e) end function e:RefreshRedPoint() LuaUtils.SetActive(self._bicoms[""im_qipao1""].transform,false) LuaUtils.SetActive(self._bicoms[""root_red_special""].transform,false) local e=ActMgr:CheckSpeicalRedPoint(self._actId) if e==nil then if self._actId==5 then local t=false local e=false if not RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.MONTH_SIGN)then if RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.MONTH_SIGN_AGAIN)then LuaUtils.SetActive(self._bicoms[""root_red_special""].transform,true) self:CheckRefreshSpecialRedPoint(110000001) LuaUtils.SetLocalPos(self._bicoms[""root_red_special""].transform,0,0,0) t=true end else LuaUtils.SetActive(self._bicoms[""im_qipao1""].transform,true) e=true end if not t"
UI_MainPageFaceActItem Refresh,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-7919191389644174794_UI_MainPageFaceActItem_security_xor_raw.lua,Face activity labels and timers are runtime-updated; some ids show txt_act_leftTime.,placeholder_text_not_authoritative,Need runtime act id and manager state to know label/time.,"function e:Refresh(a) self._actInfo=a self:SetActId(a.actId) local i=a.tbSpine local t=GameTools.GetLocalize(a.name,LanguageCategory.LangCommon) local e=o[self._actId] if a.systemId~=nil then if e.getActNewName then t=e.getActNewName() else t=ActMgr:GetActivityBaseName(a.systemId) end else if e.getActNewName then t=e.getActNewName() elseif e and e.mainPageName then t=GameTools.GetLocalize(e.mainPageName,LanguageCategory.LangCommon) end if e and e.mainPageSpineId then i=a.mainPageSpineId end end LuaUtils.SetTextMeshText(self._bicoms[""txt_act_name""],t) LuaUtils.SetActive(self._bicoms[""txt_act_leftTime""].transform,false) self:CheckRefreshSpine(i) if self._timer then self._timer:Stop() self._timer=nil end if self._timer2 then self._timer2:Stop() self._timer2=nil end if self._actId==39 then LuaUtils.SetActive(self._bicoms[""txt_act_leftTime""].transform,true) local e=0 for a,t in pairs(ModulesInit.KillDragonsManager.ActGragonGift.gifts)do if not t.isPay and t.leftTime>TimeUtil.serverMillTimeStamp then if e==0 then e=t.leftTime else if t.leftTime<e then e=t.leftTime end end end end if e==0 then LuaUtils.SetTextMeshText(self._bicoms[""txt_act_leftTime""],t) else self._timer=ModulesInit.TimeActionMgr:CreateTimeAction() local e=math.floor(e/1000)-TimeUtil.serverTimeStep if e<=0 then LuaUtils.SetTextMeshText(self._bicoms[""txt_act_leftTime""],t) else self._timer:Init(0,1,e,nil,function(e) LuaUtils.SetTextMeshText(self._bicoms[""txt_act_leftTime""],TimeUtil.toDHMSStr2(e)) end,function() LuaUtils.SetTextMeshText(self._bicoms[""txt_act_leftTime""],"""") end):Run() end end elseif self._actId==52 the"
ActCfgData mainPage override,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\xlualogic\datanode\datamanager\datamgr.assetbundle,"ActCfgData has mainPageName/mainPageSpineId overrides, e.g. act 414 maps mainPageName activityname_4100 and mainPageSpineId 104140000.",static_override_available_for_selected_act_only,The selected activity id still comes from ActMgr runtime/server list.,"FormId.UI_chuanshuogongfang_root, resetData=function() local e=require(""Modules/Act/ActLuckyTurntable/ActLuckyTurntableMgr"") e:init() end }, [409]={ actId=409, uiFormId=UIFormId.UI_underwear_lucky, otherNewUIFormId={ UIFormId.UI_UnderwearLuckyResult, UIFormId.UI_UnderwearLuckyPool, UIFormId.UI_UnderwearLuckyTenDrag, }, }, [410]={ actId=410, uiFormId=UIFormId.UI_shenjizhiguang_root, }, [411]={ actId=411, uiFormId=UIFormId.UI_lucky_food, }, [412]={ actId=412, uiFormId=UIFormId.UI_UltimateRebateAlone, }, [413]={ actId=413, uiFormId=UIFormId.UI_UltimateRebateContinue, }, [414]={ actId=414, uiFormId=UIFormId.UI_UltimateRebateDaily, mainPageName=""activityname_4100"", mainPageRedPointFunc=function() if RedPointMgr:checkServerRedPoint(412) or RedPointMgr:checkServerRedPoint(413) or RedPointMgr:checkServerRedPoint(414) or RedPointMgr:checkServerRedPoint(415) then return true end return false end, mainPageSpineId=104140000, mainPageTouchJumpId=function() if RedPointMgr:checkServerRedPoint(414)then return 414 elseif RedPointMgr:checkServerRedPoint(412)then return 412 elseif RedPointMgr:checkServerRedPoint(413)then return 413 elseif RedPointMgr:checkServerRedPoint(415)then return 415 else return 414 end end }, [415]={ actId=415, uiFormId=UIFormId.UI_UltimateRebateSeason, }, [416]={ actId=416, uiFormId=UIFormId.UI_DrawHeroTask, reqInfoFunc=function(e) local t=NetManager.Send(ProtoId.PRT_DRAW_HERO_TASK_INFO_REQ) t.onCompleted=function(a,t) if e then e(t) end end end, haveRedFunc=function(e) if RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.DRAW_HERO_TASK)then return true end return false end }, [417]={ actId=417, uiFormId=UIFormId.UI_ActJourney, }, [418]={ actId=418, uiFormId=UIFormId.UI_ActGodLight, reqInfoFunc=function(e) local t=ModulesInit.ActGodLightManager:SendLuckyPrayInfoRequest() t.onCompleted=function(a,t) if e then e(t) end end end, haveRedFunc=function(e) if"
UI_bg click blocker,maininterface_buttons.csv + decoded UI_MainPage + UI128 click validation,old-root UI_bg has an original empty Button. Decoded UI_MainPage loads a sprite into UI_bg but no UI_bg AddListener was found. UI_touchSpine is explicitly activated in the normal home branch.,no_click_patch,No source-backed evidence found that runtime disables UI_bg Button/raycast; UI_touchSpine top hit is plausible home interaction layer.,"dDownload({ [1]={i}, },function() if e.isUnderwear then n=true UIUtil.GetPlayerUnderwearSpine( i, UI_heroSpine.transform, ""haremPara"", function(e) a=e r=nil DisposeMarryHeroModel() spinePoolDespawn() if o then o() end playLoopUnderwearSpine(e) end ) LuaUtils.SetActive(UI_touchSpine.transform,true) elseif e.isMarry then F=true LuaUtils.SetActive(UI_touchSpine.transform,false) UIUtil.SpinePoolDespawnAll(a,r) a=nil r=nil SetMarryHeroModel(i) if o then o() end startTime() elseif e.isSelfMarry then F=true LuaUtils.SetActive(UI_touchSpine.transform,false) UIUtil.SpinePoolDespawnAll(a,r) a=nil r=nil SetMarryHeroModel(i,true) if o then o() end startTime() else UIUtil.GetPlayerBigSpineAll( i, UI_hero"
btn_discord click blocker,decoded UI_MainPage + UI128 click validation,btn_discord has a non-review onClick listener; SetActive(false) is only inside GameTools:IsReview(). UI128 blocker is caused by right/node_act_btn/btn_act_12 top graphic.,no_hide_patch,Review branch hide is not valid for reference normal home; activity layer state still needs runtime ActMgr evidence.,"riend) paihangbang_Btn.onClick:AddListener(onBtnRank) funhandbook_Btn.onClick:AddListener(onBtnFunHandBook) btn_head.onClick:AddListener(onBtnHead) bg_juese.onClick:AddListener(onBtnHead) btn_download.onClick:AddListener(OnShowBgDownload) btn_baiqipao.onClick:AddListener(onChat) btn_naver.onClick:AddListener(function() LuaUtils.OpenUrl(Constant.naver_url) end) btn_twitter.onClick:AddListener(function() LuaUtils.OpenUrl(Constant.twitter_url) end) btn_discord.onClick:AddListener(function() LuaUtils.OpenUrl(Constant.discord_url) end) btn_taskNotice.onClick:AddListener(OnClickTaskNoticeBtn) faceGiftNode.onClick:AddListener(function() ActMgr:CheckJumpViewById(ModulesInit.FaceGiftManager.ACT_ID,{isOpenFrame=true}) end) btn_qinmi2.onClick:AddListener(onBtnFavorability) btn_watch2.onClick:AddListe"
review_branch_guardrail,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,"GameTools:IsReview() hides btn_qinmi, node_renwu, btn_twitter, btn_discord, btn_beijing, btn_naver, toggle3, mian_wanfa_item_3, and mian_wanfa_item_4 together.",not_reference_state,"Reference still shows normal home/task/social style elements, so this branch cannot be used as a targeted btn_discord fix.","if GameTools:IsReview()then LuaUtils.SetActive(btn_qinmi.transform,false) LuaUtils.SetActive(node_renwu.transform,false) LuaUtils.SetActive(btn_twitter.transform,false) LuaUtils.SetActive(btn_discord.transform,false) LuaUtils.SetActive(btn_beijing.transform,false) LuaUtils.SetActive(btn_naver.transform,false) local e=e:Find(""right/node_bottom/toogles/toggle3"") LuaUtils.SetActive(e,false) LuaUtils.SetActive(mian_wanfa_item_3.transform,false) LuaUtils.SetActive(mian_wanfa_item_4.transform,false) else end local e=e:GetComponent(typeof(CS.UnityEngine.Animator)) e.keepAnimatorControllerStateOnDisable=true UIUtil.AddTouchEventMulti(autoHelper_Root."
