checkpoint,referenceFrameTime,referenceNormalizedRegion,currentBattle57Observation,projectEvidenceToJoin,validationTarget
Main home aspect/layout,"sample_000 0s; attached image","aspect ~2.24; bottom nav y~0.88-1.00; top/player/currency y~0.02-0.16","Not checked in battle capture; UI146 needs runtime snapshot","MAININTERFACE_146 runtime snapshot template and required field matrix","Compare after approved runtime UI snapshot; do not infer active events/redpoints from video"
Formation screen slots,"sample_003 15s","arena x~0.02-0.98 y~0.15-0.78; roster y~0.82-0.98","Current battle candidate does not reproduce formation screen","Character roster/actor payload reports; BATTLE54 actors/cards CSV","Use as formation/roster layout reference only"
Normal battle top HUD,"sample_004 20s; sample_007 35s; sample_012 60s","HP/portraits y~0.03-0.14; centered VS; wave under center","BATTLE57 top HUD is much lower around upper-middle of 1080p capture","BATTLE54 routes CSV; BATTLE57 capture; root_battle/root_top/TopCenter rows","Fix through aspect-correct view rect plus source-backed RectTransform/Canvas state"
Right battle control rail,"sample_004 20s; sample_012 60s; skill frames","x~0.90-0.96; AUTO/play/x2 stack y~0.38-0.59; rail persists through skill overlays","BATTLE57 rail is further right/lower and labels differ","BATTLE54 button routes CSV; BATTLE50 decoded Lua; BATTLE52/BATTLE53 xLua blocker","Validate route active state, sibling order, and handler binding together"
Bottom hero cards,"sample_004 20s; sample_007 35s; sample_012 60s; sample_018 90s","five cards x~0.30-0.71 y~0.80-1.00","BATTLE57 shows detached labels/glows but not full five card frames/icons","BATTLE54 hero cards CSV; TMP/text CSV; CHARACTER64 exact 1036 blocker","Need full actor/card payload plus mask/stencil/material/scale validation"
Friendly actor formation,"normal battle 20-60s","five friendly units x~0.18-0.45 y~0.25-0.86","BATTLE57 has only local subset actors and distribution differs","BATTLE57 actor evidence; CHARACTER64 exact 1036 missing; CHARACTER63 unresolved enemies","Do not claim complete actor list until exact 1036 and unresolved chains are source-backed"
Enemy actor formation,"normal battle 20-60s","enemy units x~0.55-0.82 y~0.25-0.82; wave 2 has more enemies","BATTLE57 shows limited enemy/actor subset; one overlaps top HUD area","BATTLE54 actor CSV; CHARACTER63/64 actor payload blockers","Validate source-backed enemy ids and formation slots before final battle claim"
Skill white/black mask overlay,"sample_013 65s","screen-wide white stage; black silhouettes; right rail visible","TimelineAsset mismatch blocks source-evaluated playback","BATTLE63/BATTLE64/BATTLE65 reports; TimelineEffect evidence matrix","Use as mask/stencil/effect overlay validation, not normal coordinate reference"
Skill cinematic overlay,"sample_015 75s; sample_018 90s","dark/red/pink screen-wide effects; top/bottom HUD can persist; right rail persists","Project cannot source-evaluate TimelineAsset bindings yet","BATTLE64 original binding evidence; BATTLE65 local Timeline candidate","Requires Timeline type compatibility plus original TimelineEffect/PlayableDirector binding"
TMP/text visual state,"all battle HUD frames","compact Korean labels; high contrast; no broad overflow in normal frames","BATTLE54 has 65 TMP/text rows, autosize 1/65, negative spacing rows 15; visual state differs","BATTLE54 TMP/text CSV; BATTLE50 decoded Lua text paths","Validate font/material/autosize/scale after correct aspect and route state"

