item,region,referenceObservation,candidateObservation,diffMetric,classification,rootCause,sourceEvidence,patchDecision,allowedWithoutSnapshot,nextAction,guardrail
activity stack count/position/icons/text,right_activity_stack,Reference shows a compact right/top activity cluster with a small set of localized icons.,Candidate shows many circular placeholder activity buttons and repeated placeholder text across upper/right screen.,corr=0.17393; meanAbsDiff=0.247383; changed30=0.787842,requires_runtime_snapshot,"UI_MainPage wraps btn_act_1..8, but refreshMainAct disables all and enables only ActMgr:GetActInMain runtime results. UI130 has no activitys/player/redpoint/callback snapshot.",UI128 GetActInMain/GetAllActInfo/IsActShowInMain evidence; UI129 canDriveGetActInMain=0; UI130 replay blocked_missing_runtime_snapshot_fields.,"No scene patch. Do not hide, relabel, or replace activity slots without UI130 replay success.",false,Import real activitys/playerInfo/redPoint/client callback snapshot and rerun UI130 replayer.,node_act_btn/btn_act_* arbitrary hide forbidden
face activity row,right_icon_chat,Reference has event/social/right-side activity icons integrated with chat and right controls.,Candidate keeps placeholder/incorrect face/activity elements; no source-backed face activity ids.,corr=0.414567; meanAbsDiff=0.218707; changed30=0.715093,requires_runtime_snapshot,UI_MainPage face wrappers btn_face_item_1..7 are enabled by ActMgr:GetActInMainFace; UI130 added faceActivitys but template is empty and blocked.,UI128 face_activity_slots and UI_MainPageFaceActItem:Refresh evidence; UI130 missing faceActivitys.,No face activity hide/text/icon/spine patch.,false,"Capture/construct faceActivitys runtime snapshot, then replay.",fake face activity labels/icons forbidden
right icon cluster non-activity buttons,right_icon_chat,Reference right cluster includes social/friend/mail/rank/shop-style controls and event entries in coherent layers.,"Candidate has some old-root controls closer to reference, but activity placeholders occlude/shift the cluster.",corr=0.414567; meanAbsDiff=0.218707; changed30=0.715093,needs_unity_runtime_probe,"Some buttons are static old-root prefab nodes, but their final sibling/canvas/raycast relationship is obscured by unresolved runtime activity layer.",UI126 old-root closer to reference; UI128 btn_discord blocked by btn_act_12 top graphic.,"Candidate plan only: after activity replay, probe sibling/canvas order for non-activity right controls. Do not use review hide.",conditional_probe_only,Unity runtime probe of old-root right cluster after UI130 snapshot replay gives authoritative activity layer.,btn_discord review hide forbidden
bottom navigation,bottom_nav,Reference bottom nav has a pink/white base strip and seven localized icon buttons.,Candidate bottom nav is incomplete/occluded; some labels/icons are present but not in final reference layout.,corr=0.395621; meanAbsDiff=0.190902; changed30=0.68305,needs_unity_runtime_probe,"Bottom buttons are likely static old-root prefab nodes, but current candidate lacks final layer/order/background strip behavior.","Old-root candidate improved global correlation; TMP/static font evidence exists, but no final sibling/canvas/order proof for bottom strip.","No patch in UI131. Candidate plan: probe old-root bottom node active state, Animator binding, and Canvas order before static patch.",probe_only,Unity hierarchy/Animator/runtime probe for bottom nav nodes and static sprite bindings.,coordinate-only nav alignment forbidden
chat bubble and chat text,chat_bubble,Reference shows populated chat/social bubble with player names and messages.,Candidate shows placeholder chat card/text such as dfadsfadsf and non-reference bubble content.,corr=0.559898; meanAbsDiff=0.176602; changed30=0.661452,requires_runtime_snapshot,Chat content/player names/server messages are runtime data; static prefab placeholder text is not authoritative.,UI129 runtime/account/server snapshot search found no usable account/chat snapshot; TMP evidence only gives material/font binding.,"No fake chat text patch. Static bubble layout can be probed separately, but text remains runtime.",false_for_text,Find chat/account/message runtime snapshot or log if visual text must match.,fake text forbidden
top profile/currencies,top_bar,Reference has profile level/name/power and currency amounts filled with localized/numeric text.,Candidate has garbled/blank/placeholder top values and mismatched icon layering.,corr=0.24431; meanAbsDiff=0.264475; changed30=0.844476,requires_runtime_snapshot,Player level/name/power/currency values need PlayerMgr/account/resource snapshot; static font evidence does not provide values.,UI129 found no PlayerMgr.PlayerInfo/account snapshot; UI130 requires playerInfo level/vip and runtime fields.,No fake value patch. Font/material binding may be patched only after text nodes are source-identified.,false_for_values,Obtain player/account/currency snapshot or authoritative replay log.,fake HUD numbers forbidden
hero1005 spine/background,center_hero_background,"Reference and candidate both use the night/moon room background and Hero1005, but framing/opacity/layer fit still differs.",Candidate has real Hero1005 SkeletonGraphic and BG1005 but larger/overlaid differently than reference.,corr=0.475187; meanAbsDiff=0.184641; changed30=0.61333,needs_unity_runtime_probe,"Hero mount is source-backed, but homePara transform semantics, SkeletonGraphic material/alpha, and old-root sibling/canvas order still need runtime/prefab proof.",UI124 Hero1005 real Spine mount; UI127 BG1005 source-backed candidate; UI128 no new visual patch.,Candidate plan only: probe UIUtil.GetPlayerBigSpineAll homePara transform and SkeletonGraphic canvas/material settings. No coordinate-only patch.,probe_only,Unity/prefab probe for homePara scale/position and SkeletonGraphic layer/material against Painting_1005 prefab evidence.,Painting_1005 whole image paste forbidden
text/TMP/font material,full,Reference Korean labels render cleanly with original font/material styling.,"Candidate contains garbled, placeholder, or oversized text in several UI clusters.",corr=0.424216; meanAbsDiff=0.209078; changed30=0.70151,source_backed_static_patch_possible,"Original TMP material/font assets and DTLangCommon static mappings are available, but visible runtime label keys still depend on activity/account/chat data.",UI129 DTLangCommon maps activityname_1004..1008 and Funtionname_10025/10056; maininterface_tmp_shared_materials.csv maps riyu/EPM materials to original objects.,Patch plan only: audit/apply original TMP material/font binding for static labels already source-identified. Do not set dynamic labels.,true_for_static_binding_only,"Build a static TMP material binding candidate for known static labels, with before/after text metrics and no invented strings.",visible dynamic labels cannot be invented
UI_bg click blocker,click_blocker_ui_bg_touch,"Reference expects hero/background touch area behavior, not necessarily background button click-through.",UI128 click validation reports UI_bg blocked by UI_touchSpine top object.,corr=0.424216; meanAbsDiff=0.209078; changed30=0.70151,already_matches_or_low_priority,UI_touchSpine is explicitly activated in normal home branch; no evidence runtime disables UI_bg Button/raycast.,UI128 UI_bg click blocker evidence and UI_touchSpine SetActive evidence.,No patch. Treat as diagnosed and lower priority unless later click target requirements prove otherwise.,false,Keep as known click diagnostic; do not disable UI_bg raycast without source evidence.,UI_bg raycast-off forbidden
btn_discord click blocker,click_blocker_btn_discord,Reference right-side social buttons should be clickable when visible.,btn_discord center is blocked by right/node_act_btn/btn_act_12/btn_act top graphic.,corr=0.493905; meanAbsDiff=0.208914; changed30=0.716693,source_backed_static_patch_not_allowed_by_guardrail,"The only found hide evidence for btn_discord is review branch, while blocker is caused by unresolved activity layer. Hiding activity slot or discord would violate current guardrails.",UI128 btn_discord evidence; review branch hides several normal-home elements and is not reference state.,No patch until activity runtime replay clarifies btn_act_12 active/layer state.,false,"Resolve activity layer through UI130 snapshot, then re-run click validation.",btn_discord review hide and node_act_btn arbitrary hide forbidden
