local e=
{
ByIdx={
{10191001,0,"某日，{PlayerName}正在城下町散步。","某日，{PlayerName}正在城下町散步。","","어느 날, {PlayerName}님은 산책 중이었다.","ある日、{PlayerName}は城下町で散歩している。",0,0,"","","","","","","","","",""},
{10191002,1019,"阿拉......真是好巧呢，\r\n{PlayerName}大人。","阿拉......真是好巧呢，\r\n{PlayerName}大人。","","어머... 이렇게 만나다니, \r\n{PlayerName}대인.","あら……奇遇ですね、\r\n{PlayerName}様。",31019111,31019111,"早上好。","","","좋은 아침이야.","おはよう。","确实挺巧的。","","","이런 우연이.","奇遇だね。"},
{10191003,1019,"啊~大早上就遇到了{PlayerName}大人，\r\n还和{PlayerName}大人互道了早安！","啊~大早上就遇到了{PlayerName}大人，\r\n還和{PlayerName}大人互道了早安！","","아, 아침부터 {PlayerName} 대인님을 만나 \r\n{PlayerName} 대인님과 굿모닝 인사라니!","ああ~朝から{PlayerName}様と出会い、\r\n{PlayerName}様におはようと言われるなんて……",0,0,"","","","","","","","","",""},
{10191004,1019,"啊啊，难道说，\r\n我的心意已经传达给{PlayerName}大人了吗......","啊啊，難道說，\r\n我的心意已經傳達給{PlayerName}大人了嗎......","","아아아, 설마 \r\n제 마음이 {PlayerName} 대인님에게 전해졌나 봐요...","ああ、まさか、\r\n私の気持ちがやっと{PlayerName}様に届いたのかしら……",0,0,"","","","","","","","","",""},
{10191005,1019,"好开心！\r\n今天真是一个好日子呢，\r\n呵呵呵......","好開心！\r\n今天真是一個好日子呢，\r\n呵呵呵......","","기뻐라! \r\n오늘 정말 좋은 날이에요. \r\n하하...","嬉しい！\r\n今日は楽しい一日になりそうですね、\r\nうふふ……",0,0,"","","","","","","","","",""},
{10191006,1019,"不对...失策...\r\n我没有为这个好日子做什么准备呢......实在是太可惜了......","不對...失策了...\r\n我沒有為這個好日子做什麼準備呢......實在是太可惜了......","","근데... \r\n이런 날 아무런 준비가 되어 있지 않다니... 정말 아까워...","いや……油断したね……\r\nこんなにいい日なのに、私は何も準備していないとは……\r\n実に惜しい……",0,0,"","","","","","","","","",""},
{10191007,1019,"{PlayerName}大人，和您在一起很开心，\r\n可是，为了我们的幸福，\r\n我还要更加努力一些才行呢。","城主大人，和您在一起很開心，\r\n可是，為了我們的幸福，\r\n我還要更加努力一些才行呢。","","성주 대인, 같이 있으니깐 너무 좋아요. \r\n하지만 우리의 행복을 위해 \r\n저는 더 노력해야 해요.","{PlayerName}様、あなたと一緒にいて幸せですが、\r\n私たちの幸せのために、\r\n私、もっと頑張らなければなりません。",0,0,"","","","","","","","","",""},
{10191008,1019,"那么，\r\n我就先告辞了。","那麼，\r\n我就先告辭了。","","그럼, \r\n이만 가보겠습니다.","それでは、\r\n先に失礼します。",0,0,"","","","","","","","","",""},
{10191009,0,"明智光秀一脸微笑地离开了，\r\n不过似乎能感觉到她好像在心里盘算着些什么。","明智光秀一臉微笑地離開了，\r\n不過似乎能感覺到她好像在心裡盤算著些什麼。","","미츠히데는 웃으며 떠났고 \r\n뭔가 다른 꿍꿍이가 있는 거 같았다.","明智光秀は微笑みながら去っていった、\r\n何かを考えているようだ。",0,0,"","","","","","","","","",""},
{10191010,0,"下午，{PlayerName}再一次遇到了手中拿着很多东西的明智光秀。","下午，{PlayerName}再一次遇到了手上拿著很多東西的明智光秀。","","그날 오후, {PlayerName}님은 다시 두 손 가득 뭔가를 들고 가는 미츠히데와 마추쳤다.","午後、{PlayerName}はまた、沢山の荷物を持っている明智光秀と会った。",0,0,"","","","","","","","","",""},
{10191011,1019,"阿拉......居然又遇到{PlayerName}大人您了，\r\n今天真是一个好日子呢......","阿拉......居然又遇到城主大人您了，\r\n今天真是一個好日子呢......","","어머... 성주 대인님과 또 마주치다니 \r\n오늘 정말 행복한 하루네요...","あら……また{PlayerName}様に出会えるなんで、\r\n今日はいい日ですね……",0,0,"","","","","","","","","",""},
