class_name,method_name,status,finding,evidence,patch_implication
YouYouCanvasHelper,SetDepth,static_formula_recovered,SetDepth stores the incoming depth into m_Depth at field offset 0x18 and then branches to ResetRenderDepth.,"Observed `str w19, [x20, #0x18]` followed by branch to RVA 0x13408DC in Capstone output.",A runtime-equivalent reconstruction must not set only sibling order; it must call/equivalent SetDepth so m_Depth and render-depth reset both run.
YouYouCanvasHelper,ResetRenderDepth,static_formula_partially_recovered,"ResetRenderDepth lazily resolves m_UIFormBase at 0x20 and m_Canvas at 0x28, reads m_Depth at 0x18, reads the parent UIFormBase/CurrCanvas sorting order, then sets the helper Canvas sorting order to parent order plus m_Depth. It also iterates child render components and applies the combined depth.","Observed accesses to [this+0x20], [this+0x28], [this+0x18], addition of parent sorting value and m_Depth, and repeated calls over child component list.",UI_Dock source-built sibling placement is insufficient; nested helper canvases must receive parent form sorting order + local helper depth.
YouYouCanvasHelper,ResetDepth,static_formula_partially_recovered,"ResetDepth mirrors the ResetRenderDepth path but uses the explicit depth argument, combines it with the parent UIFormBase/CurrCanvas order, then applies it to the helper Canvas and child render components.","Observed argument preserved in w19, parent canvas sorting read, `add w1, w21, w19`, and child iteration using the combined value.",OnDepthChanged/runtime depth updates must be propagated through CanvasHelper rather than approximated with hierarchy order.
YouYouCanvasHelper,OnDepthChanged,static_dispatch_recovered,OnDepthChanged dispatches back into CanvasHelper depth-reset behavior. The direct path reaches ResetRenderDepth; shared/generic path may route through a runtime invoke helper.,Observed branch to ResetRenderDepth RVA 0x13408DC in the non-shared path.,The form Depth event is part of production rendering behavior and cannot be ignored in a candidate patch.
YouYouUIManager,SetSortingOrder,static_dispatch_recovered,YouYouUIManager.SetSortingOrder delegates to UILayer.SetSortingOrder through its UI layer field.,Observed load from manager field offset 0x20 followed by branch to UILayer.SetSortingOrder RVA 0xDCAC7C.,"Candidate reconstruction needs the UI layer/group state, not only individual Canvas.sortingOrder constants."
UILayer,SetSortingOrder,static_formula_partially_recovered,UILayer.SetSortingOrder uses UIFormBase.GroupId at offset 0x38 and layer dictionaries. In add/open path it increments the group sorting cursor by 0x64 (100) and applies the resulting value to UIFormBase.CurrCanvas at offset 0x40.,"Observed GroupId load from [form+0x38], dictionary calls, `add w2, w0, #0x64`, and final Canvas sorting-order setter on CurrCanvas.",UI_Dock/UI_MainPage order depends on group cursor state and open order. Static sibling order alone cannot prove production order.
UIFormBase,Init,static_field_mapping_recovered,"UIFormBase.Init stores UIFormId, SysUIForm, CurrCanvas, CurrCanvasGroup, flags, user data, and initial enum state into known field offsets.","Observed stores matching dump.cs offsets including GroupId 0x38, CurrCanvas 0x40, CurrCanvasGroup 0x48, Depth 0x58, UserData 0x68.",Recovered field mapping makes later runtime dump/reconstruction checks more precise.
UIFormBase,Open,static_formula_partially_recovered,"UIFormBase.Open activates CurrCanvas, calls YouYouUIManager.SetSortingOrder(form, true) when the form is not DisableUILayer, reads CurrCanvas.sortingOrder, stores it into Depth at offset 0x58, and invokes OnDepthChanged at offset 0xA8.","Observed CurrCanvas access [form+0x40], DisableUILayer check [form+0x54], call to YouYouUIManager.SetSortingOrder RVA 0xFE1BA4 with add flag, Canvas sorting read, store to [form+0x58], and delegate invoke on [form+0xA8].",This explains why old-root + static UI_Dock sibling differed from production: production computes form Depth during Open and notifies CanvasHelpers.
UISpineCtr,Awake,runtime_binding_recovered_static,UISpineCtr.Awake gets SkeletonGraphic from the same GameObject and stores it in the private skeletonGraphic field at offset 0x18.,"Observed GetComponent-like call and `str x0, [x19, #0x18]`; dump.cs field skeletonGraphic is at 0x18.",UI_Dock sp_* nodes need an actual SkeletonGraphic component. RectTransform-only placeholders cannot satisfy production behavior.
UISpineCtr,PlayAnimation,runtime_binding_partially_recovered,"PlayAnimation lazily ensures skeletonGraphic exists, clears/replaces prior Lua callback fields, and calls through SkeletonGraphic animation state APIs with track index, animation name, loop flag, and Lua callbacks.","Observed skeletonGraphic field [this+0x18], callback fields [0x20/0x28/0x30/0x38/0x40], null-clearing stores, and animation-state calls.","A source-backed renderer reconstruction must bind real SkeletonGraphic/SkeletonDataAsset/material, then allow UISpineCtr.PlayAnimation to drive it."
UISpineCtr,PlayAnimation2,runtime_binding_partially_recovered,PlayAnimation2 follows the same skeletonGraphic lazy-bind path and uses Action<string> callback storage instead of LuaFunction callbacks.,"Observed skeletonGraphic field [this+0x18], Action field path, and animation-state calls.",This supports the same no-fake renderer boundary for UI_Dock sp_* animations.
